"","Artist","Set_Name","Classifications","Abilities","Set_Num","Color","Franchise","Image","Cost","Inkable","Name","Type","Lore","Rarity","Unique_ID","Card_Num","Body_Text","Willpower","Strength","Set_ID","Flavor_Text","Card_Variants","Move_Cost"
"389","Brian Weisz","Rise of the Floodborn","Storyborn, Ally","Resist +1",2,"Steel","","https://lorcana-api.com/images/kronk/junior_chipmunk/kronk-junior_chipmunk-large.png",6,TRUE,"Kronk - Junior Chipmunk","Character",2,"Rare","ROF-185",185,"Resist +1 (Damage dealt to this character is reduced by 1.)\nScout Leader: During your turn, whenever this character banishes another character in a challenge, you may deal 2 damage to chosen character.",5,4,"ROF",NA,NA,NA
"390","Luis Huerta","Rise of the Floodborn","Storyborn, Ally",NA,2,"Steel","","https://lorcana-api.com/images/lawrence/jealous_manservant/lawrence-jealous_manservant-large.png",3,TRUE,"Lawrence - Jealous Manservant","Character",2,"Uncommon","ROF-186",186,"Payback: While this character has no damage, he gets +4 {s}.",4,0,"ROF","In this new world, the crown could finally be his.",NA,NA
"391","Cristian Remero","Rise of the Floodborn","Storyborn, Hero","Evasive",2,"Steel","","https://lorcana-api.com/images/li_shang/archery_instructor/li_shang-archery_instructor-large.png",5,TRUE,"Li Shang - Archery Instructor","Character",2,"Uncommon","ROF-187",187,"Archery Lesson: Whenever this character quests, your characters gain Evasive this turn. (They can challenge characters with Evasive.)",6,3,"ROF","Learn what to do, then learn to do it without thought.",NA,NA
"392","Cristian Romero","Rise of the Floodborn","Dreamborn, Broom","Resist +1",2,"Steel","","https://lorcana-api.com/images/magic_broom/industrial_model/magic_broom-industrial_model-large.png",3,TRUE,"Magic Broom - Industrial Model","Character",1,"Common","ROF-188",188,"Make It Shine: When you play this character, chosen character gains Resist +1 until the start of your next turn. (Damage dealt to them is reduced by 1.)",3,2,"ROF","Even with a hauling weight of ""seriously, a lot,"" it can only do so much in a magical flood.",NA,NA
"393","Jenna Gray","Rise of the Floodborn","Storyborn, Villain, Princess","Bodyguard",2,"Steel","","https://lorcana-api.com/images/namaari/morning_mist/namaari-morning_mist-large.png",4,FALSE,"Namaari - Morning Mist","Character",1,"Legendary","ROF-189",189,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)\nBlades: This character can challenge ready characters.",4,2,"ROF",NA,NA,NA
"394","Koni","Rise of the Floodborn","Storyborn, Hero",NA,2,"Steel","","https://lorcana-api.com/images/pacha/village_leader/pacha-village_leader-large.png",6,TRUE,"Pacha - Village Leader","Character",2,"Uncommon","ROF-190",190,NA,8,4,"ROF","""Don't be fooled by the folksy peasant look."" - Kuzco",NA,NA
"395","Gakue Kumatori","Rise of the Floodborn","Storyborn, Prince",NA,2,"Steel","","https://lorcana-api.com/images/prince_naveen/penniless_royal/prince_naveen-penniless_royal-large.png",3,TRUE,"Prince Naveen - Penniless Royal","Character",1,"Common","ROF-191",191,NA,3,4,"ROF","All he's got is his charm.",NA,NA
"396","Jenna Gray","Rise of the Floodborn","Storyborn, Villain, Queen",NA,2,"Steel","","https://lorcana-api.com/images/queen_of_hearts/capricious_monarch/queen_of_hearts-capricious_monarch-large.png",7,TRUE,"Queen Of Hearts - Capricious Monarch","Character",1,"Rare","ROF-192",192,"Off With Their Heads!: Whenever an opposing character is banished, you may ready this character.",6,5,"ROF","The forth Rule of Villainy: Do whatever it takes to get ahead.",NA,NA
"397","Noukah","Rise of the Floodborn","Dreamborn, Hero",NA,2,"Steel","","https://lorcana-api.com/images/robin_hood/capable_fighter/robin_hood-capable_fighter-large.png",2,FALSE,"Robin Hood - Capable Fighter","Character",1,"Uncommon","ROF-193",193,"Skirmish {e} - Deal 1 damage to chosen character.",3,1,"ROF","""Capable? You don't know the half of it."" - Little John",NA,NA
"398","Gaku Kumatori","Rise of the Floodborn","Storyborn, Ally",NA,2,"Steel","","https://lorcana-api.com/images/the_huntsman/reluctant_enforcer/the_huntsman-reluctant_enforcer-large.png",2,TRUE,"The Huntsman - Reluctant Enforcer","Character",2,"Rare","ROF-194",194,"Change Of Heart: Whenever this character quests, you may draw a card, then choose and discard a card.",1,1,"ROF","""Run away, hide! In the woods, anywhere!""",NA,NA
"399","Eri Welli","Rise of the Floodborn","Dreamborn, Hero, Prince","Bodyguard, Resist +1",2,"Steel","","https://lorcana-api.com/images/the_prince/never_gives_up/the_prince-never_gives_up-large.png",3,TRUE,"The Prince - Never Gives Up","Character",2,"Uncommon","ROF-195",195,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)\nResist +1 (Damage dealt to this character is reduced by 1.)",3,1,"ROF",NA,NA,NA
"400","Matthew Robert Davies","Rise of the Floodborn","Dreamborn, Hero, Princess","Resist +2",2,"Steel","","https://lorcana-api.com/images/tiana/celebrating_princess/tiana-celebrating_princess-large.png",4,FALSE,"Tiana - Celebrating Princess","Character",2,"Super Rare","ROF-196",196,"Resist +2 (Damage dealt to this character is reduced by 2.)\nWhat You Give Is What You Get: While this character is exerted and you have no cards in your hand, opponents can't play actions.",4,1,"ROF",NA,NA,NA
"401","Samantra Erdini","Rise of the Floodborn","Storyborn, Hero, Princess",NA,2,"Steel","","https://lorcana-api.com/images/tiana/diligent_waitress/tiana-diligent_waitress-large.png",1,TRUE,"Tiana - Diligent Waitress","Character",1,"Common","ROF-197",197,NA,3,1,"ROF","""My place is going be special, with great food to fill people's bellies and hot jazz to feed their souls!""",NA,NA
"402","Hedvig H?ggman-Sund","Rise of the Floodborn",NA,"Challenger +2, Resist +2",2,"Steel","","https://lorcana-api.com/images/charge!/charge!-large.png",2,TRUE,"Charge!","Action",NA,"Common","ROF-198",198,"Chosen character gains Challenger +2 and Resist +2 this turn. (They get +2 {s} while challenging. Damage dealt to them is reduced by 2.)",NA,NA,"ROF","Sometime subtlety is required. This is not one of those times.",NA,NA
"403","R. la Barbera / L. Giammichele","Rise of the Floodborn",NA,NA,2,"Steel","","https://lorcana-api.com/images/let_the_storm_rage_on/let_the_storm_rage_on-large.png",3,FALSE,"Let The Storm Rage On","Action - Song",NA,"Common","ROF-199",199,"(A character with cost 3 or more can {e} to sing this song for free.)\nDeal 2 damaged to chosen character. Draw a card.",NA,NA,"ROF","The cold never bothered me anyway",NA,NA
"404","Pablo Hidalgo / Jeff Merghart","Rise of the Floodborn",NA,NA,2,"Steel","","https://lorcana-api.com/images/pick_a_fight/pick_a_fight-large.png",2,FALSE,"Pick A Fight","Action",NA,"Uncommon","ROF-200",200,"Chosen character can challenge ready characters this turn.",NA,NA,"ROF","""I'm gonna wreck it!""",NA,NA
"405","Jared Nickerl / Alex Accorsi","Rise of the Floodborn",NA,NA,2,"Steel","","https://lorcana-api.com/images/strength_of_a_raging_fire/strength_of_a_raging_fire-large.png",3,TRUE,"Strength Of A Raging Fire","Action - Song",NA,"Rare","ROF-201",201,"(A character with cost 3 or more can {e} to sing this song for free.) Deal damage to chosen character equal to the number of characters you have in play.",NA,NA,"ROF","Tranquil as a forest\nBut on fire within",NA,NA
"406","Jared Nickerl","Rise of the Floodborn",NA,"Challenger +3",2,"Steel","","https://lorcana-api.com/images/last_cannon/last_cannon-large.png",1,TRUE,"Last Cannon","Item",NA,"Common","ROF-202",202,"Arm Yourself: 1 {i}, Banish this item - Chosen character gains Challenger +3 this turn. (They get +3 {s} while challenging.)",NA,NA,"ROF","One shot can change everything.",NA,NA
"407","Gaku Kumatori","Rise of the Floodborn",NA,"Resist +1",2,"Steel","","https://lorcana-api.com/images/mouse_armor/mouse_armor-large.png",2,FALSE,"Mouse Armor","Item",NA,"Uncommon","ROF-203",203,"Protection - {e}: Chosen character gains Resist +1 until the start of your next turn. (Damage dealt to them is reduced by 1.)",NA,NA,"ROF","Built by the tiniest of hands for the bravest of hearts.",NA,NA
"408","Antonia Flechsig","Rise of the Floodborn",NA,NA,2,"Steel","","https://lorcana-api.com/images/weight_set/weight_set-large.png",3,TRUE,"Weight Set","Item",NA,"Rare","ROF-204",204,"Training - Whenever you play a character with 4 {s} or more, you may pay 1 {i} to draw a card.",NA,NA,"ROF","Personally endorsed by Hercules himselff!",NA,NA
"409","Matthew Robert Davies","The First Chapter","Storyborn, Hero, Princess",NA,1,"Amber","","https://lorcana-api.com/images/ariel/on_human_legs/ariel-on_human_legs-large.png",4,TRUE,"Ariel - On Human Legs","Character",2,"Uncommon","TFC-001",1,"Voiceless - This character can't {e} to sing songs.",4,3,"TFC","""...""",NA,NA
"410","Alice Pisoni","The First Chapter","Storyborn, Hero, Princess","Singer 5",1,"Amber","","https://lorcana-api.com/images/ariel/spectacular_singer/ariel-spectacular_singer-large.png",3,TRUE,"Ariel - Spectacular Singer","Character",1,"Super Rare","TFC-002",2,"Singer 5 (This character counts as cost 5 to sing songs.) 

Musical Debut - When you play this character, look at the top 4 cards of your deck. You may reveal a song card and put it into your hand. Put the rest on the bottom of your deck in any order.",3,2,"TFC",NA,NA,NA
"411","Javier Salas","The First Chapter","Storyborn, Hero, Princess","Singer 5",1,"Amber","","https://lorcana-api.com/images/cinderella/gentle_and_kind/cinderella-gentle_and_kind-large.png",4,TRUE,"Cinderella - Gentle and Kind","Character",2,"Uncommon","TFC-003",3,"Singer 5 (This character counts as cost 5 to sing songs.) 

A Wonderful Dream - {e} - Remove up to 3 damage from chosen Princess character.",5,2,"TFC",NA,NA,NA
"412","Jochem Van Gool","The First Chapter","Dreamborn, Hero, Musketeer","Bodyguard",1,"Amber","","https://lorcana-api.com/images/goofy/musketeer/goofy-musketeer-large.png",5,TRUE,"Goofy - Musketeer","Character",1,"Uncommon","TFC-004",4,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)

And Two For Tea! - When you play this character, you may remove up to 2 damage from each of your Musketeer characters.",6,3,"TFC","""En Gawrsh""",NA,NA
"413","Alex Accorsi","The First Chapter","Floodborn, Villain, King, Deity","Shift 6",1,"Amber","","https://lorcana-api.com/images/hades/king_of_olympus/hades-king_of_olympus-large.png",8,FALSE,"Hades - King of Olympus","Character",1,"Rare","TFC-005",5,"Shift 6 (You may pay 6 {i} to play this on top of one of your characters named Hades.) 

Sinister Plot - This character gets +1 {l} for each other Villain character you have in play.",7,6,"TFC","""Oh hey, I'm gonna need new business cards.""",NA,NA
"414","Randy Bishop","The First Chapter","Storyborn, Villain, Deity",NA,1,"Amber","","https://lorcana-api.com/images/hades/lord_of_the_underworld/hades-lord_of_the_underworld-large.png",4,FALSE,"Hades - Lord of the Underworld","Character",1,"Rare","TFC-006",6,"Well of Souls - When you play this character, return a character card from your discard to your hand.",2,3,"TFC","""Production is up, costs are down, the rivers are full. Time to talk expansion.""",NA,NA
"415","Janna Gray","The First Chapter","Storyborn, Ally","Support",1,"Amber","","https://lorcana-api.com/images/heihei/boat_snack/heihei-boat_snack-large.png",1,TRUE,"Heihei - Boat Snack","Character",1,"Common","TFC-007",7,"Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)",2,1,"TFC","""Sometimes, our strengths lie beneath the surface. Far beneath, in some cases. . . ."" 
-Moana",NA,NA
"416","Andrey Chumak","The First Chapter","Storyborn, Ally",NA,1,"Amber","","https://lorcana-api.com/images/lefou/bumbler/lefou-bumbler-large.png",2,TRUE,"Lefou - Bumbler","Character",2,"Uncommon","TFC-008",8,"Loyal - If you have a character named Gaston in play, you pay 1 {i} less to play this character.",2,1,"TFC","You need a good toady to be a proper bad guy.",NA,NA
"417","Dave Beauchene","The First Chapter","Storyborn, Hero",NA,1,"Amber","","https://lorcana-api.com/images/lilo/making_a_wish/lilo-making_a_wish-large.png",1,FALSE,"Lilo - Making a Wish","Character",2,"Rare","TFC-009",9,NA,1,1,"TFC","""A falling star . . . I have to make a wish!""",NA,NA
"418","Brian Weisz","The First Chapter","Storyborn, Ally","Bodyguard, Support",1,"Amber","","https://lorcana-api.com/images/maximus/palace_horse/maximus-palace_horse-large.png",5,TRUE,"Maximus - Palace Horse","Character",1,"Super Rare","TFC-010",10,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)

Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)",5,4,"TFC",NA,NA,NA
"419","Kendall Hale","The First Chapter","Dreamborn, Ally",NA,1,"Amber","","https://lorcana-api.com/images/maximus/relentless_pursuer/maximus-relentless_pursuer-large.png",3,TRUE,"Maximus - Relentless Pursuer","Character",1,"Uncommon","TFC-011",11,"Horse Kick - When you play this character, chosen character gets -2 {s} this turn.",3,3,"TFC","He pursues his quarry with courage, discipline, and a touch of class.",NA,NA
"420","Dave Beauchene","The First Chapter","Storyborn, Hero",NA,1,"Amber","","https://lorcana-api.com/images/mickey_mouse/true_friend/mickey_mouse-true_friend-large.png",3,TRUE,"Mickey Mouse - True Friend","Character",2,"Uncommon","TFC-012",12,NA,3,3,"TFC","As long as he's around, newcomers to the Great Illuminary will always get a warm welcome.",NA,NA
"421","Kendall Hale","The First Chapter","Dreamborn, Princess",NA,1,"Amber","","https://lorcana-api.com/images/minnie_mouse/beloved_princess/minnie_mouse-beloved_princess-large.png",2,TRUE,"Minnie Mouse - Beloved Princess","Character",1,"Common","TFC-013",13,NA,3,2,"TFC","Wherever the princess goes, her musketeers are . . . well, they're around somewhere, probably.",NA,NA
"422","Nicholas Kole","The First Chapter","Storyborn, Hero, Princess",NA,1,"Amber","","https://lorcana-api.com/images/moana/of_motunui/moana-of_motunui-large.png",5,TRUE,"Moana - Of Motunui","Character",3,"Rare","TFC-014",14,"We Can Fix It - Whenever this character quests, you may ready your other Princess Characters. They can't quest for the rest of this turn.",6,1,"TFC","""I am Moana of Motunui. You will board my boar, sail across the sea, and restore the heart of Te Fiti.""",NA,NA
"423","Kamil Murzyn / Eri Welli","The First Chapter","Dreamborn, Ally, Pirate",NA,1,"Amber","","https://lorcana-api.com/images/mr._smee/loyal_first_mate/mr._smee-loyal_first_mate-large.png",3,TRUE,"Mr. Smee - Loyal First Mate","Character",1,"Common","TFC-015",15,NA,5,2,"TFC","""Mr. Smee is a kind, gentle soul who lives to bring comfort and aid to a twisted old villain. Now, what good is kindness like that?"" 
- Peter Pan",NA,NA
"424","Phillip Kruse","The First Chapter","Storyborn, Hero, Prince",NA,1,"Amber","","https://lorcana-api.com/images/prince_phillip/dragonslayer/prince_phillip-dragonslayer-large.png",4,FALSE,"Prince Phillip - Dragonslayer","Character",2,"Uncommon","TFC-016",16,"Heroism - When this character challenges and is banished, you may banish the challenged character.",3,3,"TFC","""The road to true love may be barred by still many more dangers, which you alone will have to face."" 
- Flora",NA,NA
"425","James Gray","The First Chapter","Storyborn, Ally",NA,1,"Amber","","https://lorcana-api.com/images/pumbaa/friendly_warthog/pumbaa-friendly_warthog-large.png",4,TRUE,"Pumbaa - Friendly Warthog","Character",1,"Common","TFC-017",17,NA,5,3,"TFC","""You gotta put your behind in your past.""",NA,NA
"426","Jochem Van Gool","The First Chapter","Storyborn, Hero, Princess",NA,1,"Amber","","https://lorcana-api.com/images/rapunzel/gifted_with_healing/rapunzel-gifted_with_healing-large.png",4,TRUE,"Rapunzel - Gifted with Healing","Character",2,"Legendary","TFC-018",18,"Gleam and Glow - When you play this character, remove up to 3 damage from one of your characters. Draw a card for each 1 damage removed this way.",5,1,"TFC",NA,NA,NA
"427","Isaiah Mesq","The First Chapter","Storyborn, Ally","Singer 4",1,"Amber","","https://lorcana-api.com/images/sebastion/court_composer/sebastion-court_composer-large.png",2,TRUE,"Sebastian - Court Composer","Character",1,"Common","TFC-019",19,"Singer 4 (This character counts as cost 4 to sing songs.)",2,2,"TFC","""I should be writing symphonies, not tagging along after some headstrong teenager.""",NA,NA
"428","Filipe Laurentino","The First Chapter","Storyborn, Hero, Prince","Bodyguard",1,"Amber","","https://lorcana-api.com/images/simba/protective_cub/simba-protective_cub-large.png",2,TRUE,"Simba - Protective Cub","Character",1,"Common","TFC-020",20,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)",3,2,"TFC","Courage comes in all sizes.",NA,NA
"429","Marcel Berg","The First Chapter","Dreamborn, Hero, Alien",NA,1,"Amber","","https://lorcana-api.com/images/stitch/carefree_surfer/stitch-carefree_surfer-large.png",7,TRUE,"Stitch - Carefree Surfer","Character",2,"Legendary","TFC-021",21,"Ohana - When you play this character, if you have 2 or more other characters in play, you may draw 2 cards.",8,4,"TFC","""So you're from outer space, huh? I hear the surfing's choice."" 
- David",NA,NA
"430","Alex Accorsi","The First Chapter","Storyborn, Hero, Alien",NA,1,"Amber","","https://lorcana-api.com/images/stitch/new_dog/stitch-new_dog-large.png",1,TRUE,"Stitch - New Dog","Character",1,"Common","TFC-022",22,NA,2,2,"TFC","Lilo: ""David! I got a new dog!"" 
David: ""Auwe! . . . You sure it's a dog?"" 
Lilo: ""Uh-huh. He used to be a collie before he got ran over.""",NA,NA
"431","Simangaliso Sibaya","The First Chapter","Floodborn, Hero, Alien","Shift 4",1,"Amber","","https://lorcana-api.com/images/stitch/rock_star/stitch-rock_star-large.png",6,TRUE,"Stitch - Rock Star","Character",3,"Super Rare","TFC-023",23,"Shift 4 (You may pay 4 {i} to play this on top of one of your characters named Stitch.) 

Adoring Fans - Whenever you play a character with cost 2 or less, you may exert them to draw a card.",5,3,"TFC","The best part about a beachside concert is that there's always room for one more.",NA,NA
"432","Juan Diego Leon","The First Chapter","Storyborn, Ally",NA,1,"Amber","","https://lorcana-api.com/images/timon/grub_rustler/timon-grub_rustler-large.png",1,TRUE,"Timon - Grub Rustler","Character",1,"Common","TFC-024",24,"Tastes Like Chicken - When you play this character, you may remove up to 1 damage from chosen character.",2,1,"TFC","""There's all manner of tasty treats in the world - ya just gotta know where to look.""",NA,NA
"433","R. La Barbera / L. Giammichele","The First Chapter",NA,NA,1,"Amber","","https://lorcana-api.com/images/be_our_guest/be_our_guest-large.png",2,TRUE,"Be Our Guest","Action - Song",NA,"Uncommon","TFC-025",25,"(A character with cost 2 or more can {e} to sing this song for free.) 

Look at the top 4 cards of your deck. You may reveal a character card and put it into your hand. Put the rest on the bottom of your deck in any order.",NA,NA,"TFC",NA,NA,NA
"434","Amber Kommavongsa","The First Chapter",NA,NA,1,"Amber","","https://lorcana-api.com/images/control_your_temper!/control_your_temper!-large.png",1,TRUE,"Control Your Temper!","Action - Song",NA,"Common","TFC-026",26,"Chosen character gets -2 {s} this turn.",NA,NA,"TFC",NA,NA,NA
"435","Juan Diego Leon","The First Chapter",NA,NA,1,"Amber","","https://lorcana-api.com/images/hakuna_matata/hakuna_matata-large.png",4,TRUE,"Hakuna Matata","Action - Song",NA,"Common","TFC-027",27,"(A character with cost 4 or more can {e} to sing this song for free.)

Remove up to 3 damage from each of your characters.",NA,NA,"TFC","What a wonderful phrase!",NA,NA
"436","Phillip Kruse","The First Chapter",NA,NA,1,"Amber","","https://lorcana-api.com/images/healing_glow/healing_glow-large.png",1,TRUE,"Healing Glow","Action",NA,"Common","TFC-028",28,"Remove up to 2 damage from chosen character.",NA,NA,"TFC","""Don't freak out!""
-Rapunzel",NA,NA
"437","Leonardo Giammichele","The First Chapter",NA,NA,1,"Amber","","https://lorcana-api.com/images/just_in_time/just_in_time-large.png",3,TRUE,"Just In Time","Action",NA,"Rare","TFC-029",29,"You may play a character with cost 5 or less for free.",NA,NA,"TFC","The best heroes always arrive at the perfect moment - whether they know it or not.",NA,NA
"438","Samanta Erdini","The First Chapter",NA,NA,1,"Amber","","https://lorcana-api.com/images/part_of_your_world/part_of_your_world-large.png",3,FALSE,"Part of Your World","Action - Song",NA,"Rare","TFC-030",30,"(A character with cost 3 or more can {e} to sing this song for free.)

Return a character card from your discard to your hand.",NA,NA,"TFC","What would I give
If I could live out of these waters?",NA,NA
"439","Alice Pisoni","The First Chapter",NA,NA,1,"Amber","","https://lorcana-api.com/images/you_have_forgotten_me/you_have_forgotten_me-large.png",4,TRUE,"You Have Forgotten Me","Action - Song",NA,"Uncommon","TFC-031",31,"Each opponent chooses and discards 2 cards.",NA,NA,"TFC","""You are more than what you have become.""
- Mufasa",NA,NA
"440","Eri Welli","The First Chapter",NA,NA,1,"Amber","","https://lorcana-api.com/images/dinglehopper/dinglehopper-large.png",1,TRUE,"Dinglehopper","Item",NA,"Common","TFC-032",32,"Straighten Hair: {e} - Remove up to 1 damage from chosen character.",NA,NA,"TFC","Enjoy the finest of human hairstyles!",NA,NA
"441","Eri Welli","The First Chapter",NA,NA,1,"Amber","","https://lorcana-api.com/images/lantern/lantern-large.png",2,FALSE,"Lantern","Item",NA,"Rare","TFC-033",33,"Birthday Lights - {e} - You play 1 {i} less for the next character you play this turn.",NA,NA,"TFC","Lanterns fill the sky on one special night, beacons of hope and love.",NA,NA
"442","Jenna Gray","The First Chapter",NA,NA,1,"Amber","","https://lorcana-api.com/images/ursula's_shell_necklace/ursula's_shell_necklace-large.png",3,FALSE,"Ursula's Shell Necklace","Item",NA,"Rare","TFC-034",34,"Now, Sing! - Whenever you play a song, you may pay 1 {i} to draw a card.",NA,NA,"TFC","""Singing is a lovely pastime . . . if you've got the voice for it.""  - Ursula",NA,NA
"443","Valerio Buonfantino","The First Chapter","Storyborn, Hero, Queen",NA,1,"Amethyst","","https://lorcana-api.com/images/anna/heir_to_arendelle/anna-heir_to_arendelle-large.png",4,TRUE,"Anna - Heir to Arendelle","Character",2,"Uncommon","TFC-035",35,"Loving Heart - When you play this character, if you have a character named Elsa in play, choose an opposing character. The chosen character doesn't ready at the start of their next turn.",4,2,"TFC","""Two sisters, one mind.""",NA,NA
"444","Kendall Hale","The First Chapter","Dreamborn, Ally",NA,1,"Amethyst","","https://lorcana-api.com/images/archimedes/highly_educated_owl/archimedes-highly_educated_owl-large.png",1,TRUE,"Archimedes - Highly Educated Owl","Character",1,"Common","TFC-036",36,NA,2,2,"TFC","""Flying is not merely some crude, mechanical process. It is a delicate art. Purely aesthetic. Poetry of motion. And the best way to learn it is to do it!""",NA,NA
"445","Isaiah Mesq","The First Chapter","Floodborn, Villain, Sorcerer","Shift 5",1,"Amethyst","","https://lorcana-api.com/images/dr._facilier/agent_provocateur/dr._facilier-agent_provocateur-large.png",7,FALSE,"Dr. Facilier - Agent Provocateur","Character",3,"Rare","TFC-037",37,"Shift 5 (You may pay 5 {i} to play this on top of one of your characters named Dr. Facilier.) 

Into The Shadows - Whenever one of your other characters is banished in a challenge, you may return that card to your hand.",5,4,"TFC",NA,NA,NA
"446","Grace Tran","The First Chapter","Storyborn, Villain, Sorcerer","Challenger +2",1,"Amethyst","","https://lorcana-api.com/images/dr._facilier/charlatan/dr._facilier-charlatan-large.png",2,TRUE,"Dr. Facilier - Charlatan","Character",1,"Common","TFC-038",38,"Challenger +2 (When challenging, this character get +2 {s}.) ",4,0,"TFC","""Enchant?e. A tip of the hat from Dr. Facilier.""",NA,NA
"447","Cam Kendell","The First Chapter","Storyborn, Villain, Sorcerer",NA,1,"Amethyst","","https://lorcana-api.com/images/dr._facilier/remarkable_gentleman/dr._facilier-remarkable_gentleman-large.png",3,TRUE,"Dr. Facilier - Remarkable Gentleman","Character",1,"Rare","TFC-039",39,"Dreams Made Real - Whenever you play a song, you may look at the top 2 cards of your deck. Put one on the top of your deck and the other on the bottom.",4,2,"TFC",NA,NA,NA
"448","Duyen Nguyen / Aubrey Archer","The First Chapter","Storyborn, Hero, Queen, Sorcerer",NA,1,"Amethyst","","https://lorcana-api.com/images/elsa/queen_regent/elsa-queen_regent-large.png",4,TRUE,"Elsa - Queen Regent","Character",1,"Common","TFC-040",40,NA,4,4,"TFC","""I never knew what I was capable of.""",NA,NA
"449","Nicholas Kole","The First Chapter","Dreamborn, Hero, Queen, Sorcerer",NA,1,"Amethyst","","https://lorcana-api.com/images/elsa/snow_queen/elsa-snow_queen-large.png",3,TRUE,"Elsa - Snow Queen","Character",1,"Uncommon","TFC-041",41,"Freeze -{e} - Exert chosen opposing character.",3,2,"TFC","Recreated by magical ink, Elsa found herself in an entirely new world. Fortunately, ice works the same way everywhere.",NA,NA
"450","Matthew Robert Davies","The First Chapter","Floodborn, Hero, Queen, Sorcerer","Shift 6",1,"Amethyst","","https://lorcana-api.com/images/elsa/spirit_of_winter/elsa-spirit_of_winter-large.png",8,FALSE,"Elsa - Spirit of Winter","Character",3,"Legendary","TFC-042",42,"Shift 6 (You may pay 6 {i} to play this on top of one of your characters named Elsa.) 

Deep Freeze - When you play this character, exert up to 2 chosen characters. They can't ready at the start of their next turn.",6,4,"TFC","Ice is stronger than you may think.",NA,NA
"451","Luis Huerta","The First Chapter","Storyborn, Ally","Rush",1,"Amethyst","","https://lorcana-api.com/images/flotsam/ursula's_spy/flotsam-ursula's_spy-large.png",5,FALSE,"Flotsam - Ursula's Spy","Character",2,"Rare","TFC-043",43,"Rush (This character can challenge the turn they're played.) 

Dexterous Lunge - Your characters named Jetsam gain Rush.",4,3,"TFC","""We know someone who can help you . . . for a price.""",NA,NA
"452","Marcel Berg","The First Chapter","Dreamborn, Villain, Sorcerer",NA,1,"Amethyst","","https://lorcana-api.com/images/jafar/keeper_of_secrets/jafar-keeper_of_secrets-large.png",4,TRUE,"Jafar - Keeper of Secrets","Character",2,"Rare","TFC-044",44,"Hidden Wonders - This character gets +1 {s} for each card in your hand.",5,0,"TFC","There's more than one way to bury secrets.",NA,NA
"453","Jake Parker","The First Chapter","Dreamborn, Villain, Sorcerer","Challenger +3",1,"Amethyst","","https://lorcana-api.com/images/jafar/wicked_sorcerer/jafar-wicked_sorcerer-large.png",4,TRUE,"Jafar - Wicked Sorcerer","Character",1,"Common","TFC-045",45,"Challenger +3 (When challenging, this character gets +3 {s}.) ",5,2,"TFC","""Enough skulking about. It's time to show that sniveling sultan what a sorcerer can do.""",NA,NA
"454","Brian Weisz","The First Chapter","Storyborn, Ally","Evasive",1,"Amethyst","","https://lorcana-api.com/images/jetsam/ursula's_spy/jetsam-ursula's_spy-large.png",4,TRUE,"Jetsam - Ursula's Spy","Character",1,"Common","TFC-046",46,"Evasive (Only characters with Evasive can challenge this character.) 

Sinister Slither - Your characters named Flotsam gain Evasive.",3,3,"TFC","""We can help you get anything you want. . . .""",NA,NA
"455","Dav Augereau / Giulia Riva","The First Chapter","Dreamborn, Broom",NA,1,"Amethyst","","https://lorcana-api.com/images/magic_broom/bucket_brigade/magic_broom-bucket_brigade-large.png",2,TRUE,"Magic Broom - Bucket Brigade","Character",1,"Common","TFC-047",47,"Sweep - When you play this character, you may shuffle a card from any discard into its player's deck.",2,2,"TFC","In the immense story-forge known as the Great Illuminary, there is always work to be done.",NA,NA
"456","Grace Tran","The First Chapter","Dreamborn, Villain, Sorcerer",NA,1,"Amethyst","","https://lorcana-api.com/images/maleficent/biding_her_time/maleficent-biding_her_time-large.png",1,FALSE,"Maleficent - Biding Her Time","Character",2,"Rare","TFC-048",48,NA,1,1,"TFC","""One mustn't rush these things, or the greatest plan might come to nothing.""",NA,NA
"457","Valerio Buonfantino","The First Chapter","Storyborn, Villain, Sorcerer",NA,1,"Amethyst","","https://lorcana-api.com/images/maleficent/sorceress/maleficent-sorceress-large.png",3,TRUE,"Maleficent - Sorceress","Character",1,"Common","TFC-049",49,"Cast My Spell! - When you play this character, you may draw a card.",2,2,"TFC","""You dare challenge me? Fool, my magic is more powerful than you could possibly imagine!""",NA,NA
"458","Kendall Hale / Anh Dang","The First Chapter","Storyborn, Ally",NA,1,"Amethyst","","https://lorcana-api.com/images/marshmallow/persistent_guardian/marshmallow-persistent_guardian-large.png",6,FALSE,"Marshmallow - Persistent Guardian","Character",1,"Super Rare","TFC-050",50,"Durable - When this character is banished in a challenge, you may return this card to your hand.",5,5,"TFC","""Hey! We were just talking about you! All good things, all good things."" 
- Olaf",NA,NA
